id;uuid;id_document;id_number;date_of_birth;first_name;last_name;registration_number;verified;practitioner_type
1;116d7e16-da48-496f-98c7-c2d6d7a0c830;SOUTH_AFRICAN_ID;woeful;2026-03-08;Daphne;Fritsch;though;false;PHYSIOTHERAPRIST
2;c13ba680-deb9-4eb4-a546-e879e31e5418;PASSPORT;limply since once;2026-03-08;Marge;Hudson;angrily gosh lid;false;OCCUPATIONAL_THERAPIST
3;f1575a30-e4a0-44ad-870d-b0d7eef22ba5;SOUTH_AFRICAN_ID;anenst pleased;2026-03-07;Lora;Brakus;cafe safe;true;PHYSIOTHERAPRIST
4;5d7cc8c8-c85b-4775-a86f-8502230feea1;SOUTH_AFRICAN_ID;interviewer potable yuck;2026-03-07;Adela;Kunze;cheerfully oof;true;PHYSIOTHERAPRIST
5;779159de-09fa-4700-b7a4-108e3b7c6751;PASSPORT;blah;2026-03-07;Timmothy;Cremin;weakly considering;true;OCCUPATIONAL_THERAPIST
6;404078c1-28eb-4d58-bf43-a9d6bc313257;SOUTH_AFRICAN_ID;edge cruelly;2026-03-07;Ahmad;Schmitt;ugh meanwhile;true;PHYSIOTHERAPRIST
7;0a5586f6-f216-4951-8155-b0638ee87f10;SOUTH_AFRICAN_ID;barring;2026-03-08;Courtney;Adams;unfit roger;true;OCCUPATIONAL_THERAPIST
8;fc64eab4-53fc-4dca-adf1-c7cbf97e114a;PASSPORT;amongst;2026-03-07;Granville;Turcotte;oof major after;false;OCCUPATIONAL_THERAPIST
9;abe94ee6-a34f-412a-a6e4-66c2df899c38;SOUTH_AFRICAN_ID;in jeopardise;2026-03-08;Krystina;Denesik;darling but;false;PHYSIOTHERAPRIST
10;435e66f5-1c83-47d1-b9fc-58527da948db;SOUTH_AFRICAN_ID;preside blah adventurously;2026-03-08;Nikko;Kessler;chap abandoned even;true;PHYSIOTHERAPRIST
